surface,type,source,note
위염,finding,팀 수집 2026-09-21 (eval 케이스),
위염 초기,finding,팀 수집 2026-09-21 (eval 케이스),초기 수식 포함형
위궤양,finding,팀 수집 2026-09-21 (eval 케이스),
역류성 식도염,finding,팀 수집 2026-09-21 (eval 케이스),Kiwi 기본이 역류/성/식도/염으로 쪼갠다
식도염,finding,팀 수집 2026-09-21 (eval 케이스),
장염,finding,팀 수집 2026-09-21 (eval 케이스),
감기,finding,팀 수집 2026-09-21 (eval 케이스),
비염,finding,팀 수집 2026-09-21 (eval 케이스),
알레르기성 비염,finding,팀 수집 2026-09-21 (eval 케이스),
중이염,finding,팀 수집 2026-09-21 (eval 케이스),
편도염,finding,팀 수집 2026-09-21 (eval 케이스),
축농증,finding,팀 수집 2026-09-21 (eval 케이스),
결막염,finding,팀 수집 2026-09-21 (eval 케이스),
안구건조증,finding,팀 수집 2026-09-21 (eval 케이스),Kiwi 기본이 안구/건조증으로 쪼갠다
안압,finding,팀 수집 2026-09-21 (eval 케이스),수치 소견
혈압,finding,팀 수집 2026-09-21 (eval 케이스),수치 소견
고혈압,finding,팀 수집 2026-09-21 (eval 케이스),
당뇨,finding,팀 수집 2026-09-21 (eval 케이스),
당뇨 전단계,finding,팀 수집 2026-09-21 (eval 케이스),
갑상선 수치,finding,팀 수집 2026-09-21 (eval 케이스),
피부염,finding,팀 수집 2026-09-21 (eval 케이스),
접촉성 피부염,finding,팀 수집 2026-09-21 (eval 케이스),
충치,finding,팀 수집 2026-09-21 (eval 케이스),
귀지,finding,팀 수집 2026-09-21 (eval 케이스),
요로결석,finding,팀 수집 2026-09-21 (eval 케이스),
방광염,finding,팀 수집 2026-09-21 (eval 케이스),
헬리코박터균,finding,팀 수집 2026-09-21 (eval 케이스),검사 대상이기도 하다
바이러스성,finding,팀 수집 2026-09-21 (eval 케이스),"열은 바이러스성"
염좌,finding,evals/lexicon/diagnosis_terms.txt,
발목 염좌,finding,팀 수집 2026-09-21 (eval 케이스),
골절,finding,evals/lexicon/diagnosis_terms.txt,
피로골절,finding,evals/lexicon/diagnosis_terms.txt,
탈구,finding,evals/lexicon/diagnosis_terms.txt,
아탈구,finding,evals/lexicon/diagnosis_terms.txt,
인대 손상,finding,evals/lexicon/diagnosis_terms.txt,
십자인대 파열,finding,evals/lexicon/diagnosis_terms.txt,
전방십자인대,finding,evals/lexicon/diagnosis_terms.txt,
후방십자인대,finding,evals/lexicon/diagnosis_terms.txt,
반월판,finding,evals/lexicon/diagnosis_terms.txt,
반월상연골,finding,evals/lexicon/diagnosis_terms.txt,
측부인대,finding,evals/lexicon/diagnosis_terms.txt,
내측측부인대,finding,evals/lexicon/diagnosis_terms.txt,
외측측부인대,finding,evals/lexicon/diagnosis_terms.txt,
연골연화증,finding,evals/lexicon/diagnosis_terms.txt,
슬개골연골연화증,finding,evals/lexicon/diagnosis_terms.txt,
퇴행성 관절염,finding,evals/lexicon/diagnosis_terms.txt,
골관절염,finding,evals/lexicon/diagnosis_terms.txt,
류마티스,finding,evals/lexicon/diagnosis_terms.txt,
활액막염,finding,evals/lexicon/diagnosis_terms.txt,
점액낭염,finding,evals/lexicon/diagnosis_terms.txt,
건염,finding,evals/lexicon/diagnosis_terms.txt,
슬개건염,finding,evals/lexicon/diagnosis_terms.txt,
회전근개,finding,evals/lexicon/diagnosis_terms.txt,
회전근개 파열,finding,팀 수집 2026-09-21 (eval 케이스),
극상근,finding,evals/lexicon/diagnosis_terms.txt,
오십견,finding,evals/lexicon/diagnosis_terms.txt,
유착성 관절낭염,finding,evals/lexicon/diagnosis_terms.txt,
석회성 건염,finding,evals/lexicon/diagnosis_terms.txt,
충돌증후군,finding,evals/lexicon/diagnosis_terms.txt,
어깨충돌증후군,finding,evals/lexicon/diagnosis_terms.txt,
관절와순,finding,evals/lexicon/diagnosis_terms.txt,
디스크,finding,evals/lexicon/diagnosis_terms.txt,
허리 디스크,finding,팀 수집 2026-09-21 (eval 케이스),
추간판탈출증,finding,evals/lexicon/diagnosis_terms.txt,
협착증,finding,evals/lexicon/diagnosis_terms.txt,
척추관협착증,finding,evals/lexicon/diagnosis_terms.txt,
좌골신경통,finding,evals/lexicon/diagnosis_terms.txt,
강직성 척추염,finding,evals/lexicon/diagnosis_terms.txt,
편두통,finding,evals/lexicon/diagnosis_terms.txt,
긴장성 두통,finding,evals/lexicon/diagnosis_terms.txt,
근육통,finding,팀 수집 2026-09-21 (eval 케이스),
근종,finding,팀 수집 2026-09-22 (처음 보는 메모),
자궁근종,finding,팀 수집 2026-09-22 (처음 보는 메모),
혈당,finding,팀 수집 2026-09-22 (처음 보는 메모),수치 소견
간수치,finding,팀 수집 2026-09-22 (처음 보는 메모),수치 소견
어지럼,finding,팀 수집 2026-09-22 (처음 보는 메모),
불안,finding,팀 수집 2026-09-22 (처음 보는 메모),
