child,relation,parent
MAN:001,part_of,UBERON:0001485
MAN:002,part_of,UBERON:0001485
MAN:003,part_of,UBERON:0001485
MAN:004,part_of,UBERON:0001485
MAN:005,part_of,UBERON:0001485
MAN:006,part_of,UBERON:0001467
MAN:007,part_of,UBERON:0001467
MAN:008,part_of,UBERON:0001467
MAN:009,part_of,UBERON:0001467
MAN:010,part_of,UBERON:0001467
MAN:011,part_of,MAN:008
UBERON:0001129,part_of,UBERON:0003683
UBERON:0001470,is_a,UBERON:0016884
UBERON:0001477,part_of,UBERON:0003683
UBERON:0001483,part_of,UBERON:0001467
UBERON:0001485,part_of,UBERON:0001465
UBERON:0001510,part_of,UBERON:0001465
UBERON:0002383,part_of,UBERON:0003683
UBERON:0002446,part_of,UBERON:0001465
UBERON:0003577,part_of,UBERON:0001465
UBERON:0003579,part_of,UBERON:0001467
UBERON:0003671,is_a,UBERON:0006659
UBERON:0003676,is_a,UBERON:0011088
UBERON:0003680,is_a,UBERON:0006659
UBERON:0003683,part_of,UBERON:0001467
UBERON:0003692,is_a,UBERON:0016884
UBERON:0006659,is_a,UBERON:0011088
UBERON:0009005,part_of,UBERON:0001485
UBERON:0010496,part_of,UBERON:0003683
UBERON:0011088,part_of,UBERON:0001485
UBERON:0011166,part_of,UBERON:0001485
UBERON:0011959,part_of,UBERON:0001470
UBERON:0011960,part_of,UBERON:0001470
UBERON:0012118,is_a,UBERON:0003579
UBERON:0012118,part_of,UBERON:0001477
UBERON:0014899,is_a,UBERON:0011088
UBERON:0016400,is_a,UBERON:0003577
UBERON:0016884,part_of,UBERON:0001467
UBERON:0034736,part_of,UBERON:0003692
UBERON:0001465,part_of,REG:002
UBERON:0001467,part_of,REG:001
