child,relation,parent,source
UBERON:0001467,part_of,REG:001,
ANC:006,part_of,REG:001,
ANC:007,part_of,REG:001,
UBERON:0001465,part_of,REG:002,
ANC:008,part_of,REG:002,
ANC:009,part_of,REG:002,
ANC:003,part_of,REG:003,
ANC:004,part_of,REG:003,
ANC:005,part_of,REG:003,
ANC:001,part_of,REG:004,
ANC:002,part_of,REG:004,
ANC:010,part_of,REG:005,
SUR:001,part_of,ANC:001,
SUR:002,part_of,ANC:001,
SUR:003,part_of,ANC:001,
SUR:004,part_of,ANC:001,
SUR:005,part_of,ANC:001,
SUR:011,part_of,ANC:002,
SUR:012,part_of,ANC:002,
SUR:021,part_of,ANC:003,
SUR:022,part_of,ANC:003,
SUR:031,part_of,ANC:004,
SUR:032,part_of,ANC:004,
SUR:041,part_of,ANC:005,
SUR:042,part_of,ANC:005,
SUR:051,part_of,UBERON:0001467,
SUR:052,part_of,UBERON:0001467,
SUR:053,part_of,UBERON:0001467,
SUR:054,part_of,UBERON:0001467,
SUR:061,part_of,ANC:006,
SUR:062,part_of,ANC:006,
SUR:063,part_of,ANC:006,
SUR:071,part_of,ANC:007,
SUR:072,part_of,ANC:007,
SUR:073,part_of,ANC:007,
SUR:074,part_of,ANC:007,
SUR:081,part_of,ANC:008,
SUR:082,part_of,ANC:008,
SUR:091,part_of,UBERON:0001465,
SUR:092,part_of,UBERON:0001465,
SUR:093,part_of,UBERON:0001465,
SUR:094,part_of,UBERON:0001465,
SUR:101,part_of,ANC:009,
SUR:102,part_of,ANC:009,
SUR:103,part_of,ANC:009,
SUR:104,part_of,ANC:009,
SUR:105,part_of,ANC:009,
