id,name_en,name_ko,region,structure_type,sctid,fma,definition_en,source,is_anchor,tier,kind,laterality
REG:004,head and neck,머리·목,머리·목,부위,,,,"수동(상부 묶음, 참고 UBERON:0000033 head + UBERON:0000974 neck)",,1,region,none
REG:003,trunk,몸통,몸통,부위,,,,"수동(상부 묶음, 참고 UBERON:0002100 trunk)",,1,region,none
REG:001,upper limb,상지,상지,부위,,,,"수동(상부 묶음, 참고 UBERON:0002102 forelimb)",,1,region,none
REG:005,whole body,전신,전신,부위,,,,수동(위치 없는 증상용 묶음),,1,region,none
REG:002,lower limb,하지,하지,부위,,,,"수동(상부 묶음, 참고 UBERON:0002103 hindlimb)",,1,region,none
ANC:001,head,머리,머리,부위,,,,수동(앵커. UBERON:0000033 대조 전),1,2,anchor,none
ANC:002,neck,목,목,부위,,,,수동(앵커. UBERON:0000974 대조 전),1,2,anchor,none
ANC:003,chest,가슴,가슴,부위,,,,수동(앵커. 응급 안내 입력 자리),1,2,anchor,none
ANC:004,abdomen,배,배,부위,,,,수동(앵커),1,2,anchor,none
ANC:005,lower back,허리,허리,부위,,,,수동(앵커),1,2,anchor,none
UBERON:0001467,shoulder,어깨,어깨,부위,361103004,25202,"A subdivision of the pectoral complex consisting of the structures in the region of the shoulder joint (which connects the humerus, scapula and clavicle).",UBERON,1,2,anchor,left_right
ANC:006,elbow,팔꿈치,팔꿈치,부위,,,,수동(앵커),1,2,anchor,left_right
ANC:007,wrist and hand,손목·손,손목·손,부위,,,,수동(앵커),1,2,anchor,left_right
ANC:008,hip,엉덩이,엉덩이,부위,,,,수동(앵커. 고관절 포함),1,2,anchor,left_right
UBERON:0001465,knee,무릎,무릎,부위,361291001,24974,A segment of the hindlimb that corresponds to the joint connecting a hindlimb stylopod and zeugopod.,UBERON,1,2,anchor,left_right
ANC:009,ankle and foot,발목·발,발목·발,부위,,,,수동(앵커),1,2,anchor,left_right
ANC:010,whole body,전신,전신,부위,,,,수동(앵커. 발열·오한·피로 등 위치 없는 증상. 사이드 탭),1,2,anchor,none
SUR:001,scalp and forehead,머리(두피·이마),머리,표면,,,,수동(구역),,3,surface,none
SUR:002,eye,눈,머리,표면,,,,수동(구역),,3,surface,left_right
SUR:003,ear,귀,머리,표면,,,,수동(구역),,3,surface,left_right
SUR:004,nose,코,머리,표면,,,,수동(구역),,3,surface,none
SUR:005,mouth and teeth,입·치아,머리,표면,,,,수동(구역),,3,surface,none
SUR:011,throat,목 안(목구멍),목,표면,,,,수동(구역. 삼킬 때·기침. 환자는 '목'이라 부른다),,3,surface,none
SUR:012,back and side of neck,목 뒤·옆,목,표면,,,,수동(구역. 근육·뼈 쪽),,3,surface,left_right
SUR:021,center of chest,가슴 가운데,가슴,표면,,,,수동(구역),,3,surface,none
SUR:022,side of chest,가슴 옆(갈비),가슴,표면,,,,수동(구역),,3,surface,left_right
SUR:031,upper abdomen,윗배(명치),배,표면,,,,수동(구역),,3,surface,left_right
SUR:032,lower abdomen,아랫배,배,표면,,,,수동(구역),,3,surface,left_right
SUR:041,center of lower back,허리 가운데,허리,표면,,,,수동(구역),,3,surface,none
SUR:042,side of lower back,허리 옆,허리,표면,,,,수동(구역),,3,surface,left_right
SUR:051,front of shoulder,어깨 앞,어깨,표면,,,,수동(구역. FMA/SNOMED 표면 구역 대조 전),,3,surface,left_right
SUR:052,lateral shoulder,어깨 옆(바깥),어깨,표면,,,,수동(구역),,3,surface,left_right
SUR:053,back of shoulder,어깨 뒤,어깨,표면,,,,수동(구역),,3,surface,left_right
SUR:054,top of shoulder,어깨 위,어깨,표면,,,,수동(구역),,3,surface,left_right
SUR:061,inner elbow,팔꿈치 안쪽,팔꿈치,표면,,,,수동(구역),,3,surface,left_right
SUR:062,outer elbow,팔꿈치 바깥쪽,팔꿈치,표면,,,,수동(구역),,3,surface,left_right
SUR:063,back of elbow,팔꿈치 뒤,팔꿈치,표면,,,,수동(구역),,3,surface,left_right
SUR:071,wrist,손목,손목·손,표면,,,,수동(구역),,3,surface,left_right
SUR:072,palm,손바닥,손목·손,표면,,,,수동(구역),,3,surface,left_right
SUR:073,back of hand,손등,손목·손,표면,,,,수동(구역),,3,surface,left_right
SUR:074,fingers,손가락,손목·손,표면,,,,수동(구역),,3,surface,left_right
SUR:081,buttock,엉덩이,엉덩이,표면,,,,수동(구역),,3,surface,left_right
SUR:082,groin,사타구니(고관절 앞),엉덩이,표면,,,,수동(구역),,3,surface,left_right
